"base.ending","ons","base.form","irregular.ending","regular.ending","category","subcategory","example","ort.base.ending","ort.reg.ending","ort.irreg.ending","regular.form","irregular.form","ons.print","base.print","regular.print","irregular.print"
"2d","z","z2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","z2dId","z5d","z","zide","zided","zode"
"2d","T","T2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","T2dId","T5d","th","thide","thided","thode"
"2d","f","f2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","f2dId","f5d","f","fide","fided","fode"
"2d","j","j2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","j2dId","j5d","y","yide","yided","yode"
"2d","gr","gr2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","gr2dId","gr5d","gr","gride","grided","grode"
"2d","Sr","Sr2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","Sr2dId","Sr5d","shr","shride","shrided","shrode"
"2d","Tr","Tr2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","Tr2dId","Tr5d","thr","thride","thrided","throde"
"2d","vr","vr2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","vr2dId","vr5d","vr","vride","vrided","vrode"
"2d","kl","kl2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","kl2dId","kl5d","kl","klide","klided","klode"
"2d","bl","bl2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","bl2dId","bl5d","bl","blide","blided","blode"
"2d","sw","sw2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","sw2dId","sw5d","sw","swide","swided","swode"
"2d","tw","tw2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","tw2dId","tw5d","tw","twide","twided","twode"
"2d","kw","kw2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","kw2dId","kw5d","qu","quide","quided","quode"
"2d","skr","skr2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","skr2dId","skr5d","skr","skride","skrided","skrode"
"2d","spr","spr2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","spr2dId","spr5d","spr","spride","sprided","sprode"
"2d","_","_2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","_2dId","_5d","j","jide","jided","jode"
"2d","sm","sm2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","sm2dId","sm5d","sm","smide","smided","smode"
"2d","dw","dw2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","dw2dId","dw5d","dw","dwide","dwided","dwode"
"2d","skw","skw2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","skw2dId","skw5d","squ","squide","squided","squode"
"2d","spl","spl2d","5d","2dId","ove","ove.d","tide","ide","ided","ode","spl2dId","spl5d","spl","splide","splided","splode"
"2n","j","j2n","5n","2nd","ove","ove.n","shine","ine","ined","one","j2nd","j5n","y","yine","yined","yone"
"2n","tr","tr2n","5n","2nd","ove","ove.n","shine","ine","ined","one","tr2nd","tr5n","tr","trine","trined","trone"
"2n","vr","vr2n","5n","2nd","ove","ove.n","shine","ine","ined","one","vr2nd","vr5n","vr","vrine","vrined","vrone"
"2n","pl","pl2n","5n","2nd","ove","ove.n","shine","ine","ined","one","pl2nd","pl5n","pl","pline","plined","plone"
"2n","gl","gl2n","5n","2nd","ove","ove.n","shine","ine","ined","one","gl2nd","gl5n","gl","gline","glined","glone"
"2n","sl","sl2n","5n","2nd","ove","ove.n","shine","ine","ined","one","sl2nd","sl5n","sl","sline","slined","slone"
"2n","kw","kw2n","5n","2nd","ove","ove.n","shine","ine","ined","one","kw2nd","kw5n","qu","quine","quined","quone"
"2n","skr","skr2n","5n","2nd","ove","ove.n","shine","ine","ined","one","skr2nd","skr5n","skr","skrine","skrined","skrone"
"2n","str","str2n","5n","2nd","ove","ove.n","shine","ine","ined","one","str2nd","str5n","str","strine","strined","strone"
"2n","spr","spr2n","5n","2nd","ove","ove.n","shine","ine","ined","one","spr2nd","spr5n","spr","sprine","sprined","sprone"
"2n","_","_2n","5n","2nd","ove","ove.n","shine","ine","ined","one","_2nd","_5n","j","jine","jined","jone"
